,relevant_modality,aud1,aud2,vis1,vis2
0,AUD,257,287,86,116
1,AUD,530,560,25,55
2,AUD,530,0,25,55
3,VIS,133,163,145,175
4,VIS,457,487,74,104
5,VIS,457,487,74,104
6,AUD,343,373,11,41
