sound_n,volume_after_correction,volume
428,0.165,0.5825
429,0.165,0.5825
430,0.165,0.5825
431,0.165,0.5825
432,0.165,0.5825
433,0.165,0.5825
434,0.165,0.5825
435,0.165,0.5825
436,0.165,0.5825
437,0.165,0.5825
438,0.165,0.5825
439,0.165,0.5825
440,0.165,0.5825
441,0.165,0.5825
442,0.165,0.5825
443,0.165,0.5825
444,0.165,0.5825
445,0.165,0.5825
446,0.16,0.58
447,0.16,0.58
448,0.16,0.58
449,0.16,0.58
450,0.16,0.58
451,0.16,0.58
452,0.16,0.58
453,0.16,0.58
454,0.16,0.58
455,0.16,0.58
456,0.16,0.58
457,0.16,0.58
458,0.16,0.58
459,0.16,0.58
460,0.16,0.58
461,0.16,0.58
462,0.16,0.58
463,0.16,0.58
464,0.16,0.58
465,0.16,0.58
466,0.16,0.58
467,0.16,0.58
468,0.16,0.58
469,0.16,0.58
470,0.16,0.58
471,0.16,0.58
472,0.16,0.58
473,0.16,0.58
474,0.16,0.58
475,0.16,0.58
476,0.16,0.58
477,0.16,0.58
478,0.16,0.58
479,0.16,0.58
480,0.16,0.58
481,0.16,0.58
482,0.16,0.58
483,0.16,0.58
484,0.16,0.58
485,0.16,0.58
486,0.16,0.58
487,0.16,0.58
488,0.16,0.58
489,0.16,0.58
490,0.16,0.58
491,0.16,0.58
492,0.16,0.58
493,0.16,0.58
494,0.16,0.58
495,0.16,0.58
496,0.16,0.58
497,0.16,0.58
498,0.16,0.58
499,0.155,0.5775
500,0.155,0.5775
501,0.155,0.5775
502,0.155,0.5775
503,0.155,0.5775
504,0.155,0.5775
505,0.155,0.5775
506,0.155,0.5775
507,0.155,0.5775
508,0.155,0.5775
509,0.155,0.5775
510,0.155,0.5775
511,0.155,0.5775
512,0.155,0.5775
513,0.155,0.5775
514,0.15,0.575
515,0.15,0.575
516,0.15,0.575
517,0.15,0.575
518,0.15,0.575
519,0.15,0.575
520,0.15,0.575
521,0.15,0.575
522,0.15,0.575
523,0.15,0.575
524,0.15,0.575
525,0.15,0.575
526,0.15,0.575
527,0.15,0.575
528,0.15,0.575
529,0.15,0.575
530,0.15,0.575
531,0.15,0.575
532,0.15,0.575
533,0.15,0.575
534,0.15,0.575
535,0.15,0.575
536,0.15,0.575
537,0.15,0.575
538,0.15,0.575
539,0.15,0.575
540,0.15,0.575
541,0.15,0.575
542,0.15,0.575
543,0.15,0.575
544,0.15,0.575
545,0.15,0.575
546,0.145,0.5725
547,0.145,0.5725
548,0.145,0.5725
549,0.145,0.5725
550,0.145,0.5725
551,0.145,0.5725
552,0.145,0.5725
553,0.145,0.5725
554,0.14,0.57
555,0.14,0.57
556,0.14,0.57
557,0.14,0.57
558,0.14,0.57
559,0.14,0.57
560,0.14,0.57
561,0.14,0.57
562,0.14,0.57
563,0.14,0.57
564,0.14,0.57
565,0.14,0.57
566,0.14,0.57
567,0.14,0.57
568,0.14,0.57
569,0.14,0.57
570,0.14,0.57
571,0.14,0.57
572,0.14,0.57
573,0.135,0.5675
574,0.135,0.5675
575,0.135,0.5675
576,0.135,0.5675
577,0.135,0.5675
578,0.135,0.5675
579,0.135,0.5675
580,0.135,0.5675
581,0.135,0.5675
582,0.135,0.5675
583,0.135,0.5675
584,0.135,0.5675
585,0.13,0.565
586,0.13,0.565
587,0.13,0.565
588,0.13,0.565
589,0.13,0.565
590,0.13,0.565
591,0.13,0.565
592,0.13,0.565
593,0.13,0.565
594,0.13,0.565
595,0.13,0.565
596,0.13,0.565
597,0.13,0.565
598,0.13,0.565
599,0.13,0.565
600,0.13,0.565
601,0.13,0.565
602,0.13,0.565
603,0.13,0.565
604,0.13,0.565
605,0.13,0.565
606,0.13,0.565
607,0.13,0.565
608,0.13,0.565
609,0.13,0.565
610,0.13,0.565
611,0.13,0.565
612,0.13,0.565
613,0.13,0.565
614,0.13,0.565
615,0.13,0.565
