participantID,SessionType,SessionNum,CondNum,ReleMode
21,staircase2,1,7,0
21,staircase2,2,7,0
21,ams2,1,8,0
21,ams2,2,8,0
21,eds2,1,9,1
22,training,1,1,1
22,ids1,1,2,1
22,staircase1,1,3,1
22,staircase1,2,3,1
22,ams1,1,4,1
22,ams1,2,4,1
22,eds1,1,5,0
22,ids2,1,6,0
22,staircase2,1,7,0
22,staircase2,2,7,0
22,ams2,1,8,0
22,ams2,2,8,0
22,eds2,1,9,1
