,participant,difficult_ams
0,01,ams1
1,02,ams2
2,03,ams2
3,04,ams1
4,05,ams2
5,06,ams2
6,07,ams2
7,08,ams2
8,09,ams1
9,10,ams2
10,11,ams1
11,12,ams2
12,13,ams1
13,15,ams1
14,16,ams1
15,17,ams1
16,18,ams1
17,19,ams2
18,20,ams1
19,21,ams2
20,22,ams2
